id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
15939-BB-633097-7878-9999-S,teilweise,festanstellung,junior,,,Integrated Logistics Support|FMECA|OPUS Suite,frontier
15939-BB-633095-7878-7490-S,teilweise,festanstellung,senior,,,OPUS Suite|Python|Reliability Engineering,frontier
15939-BB-633455-7878-6343-S,nicht_genannt,festanstellung,senior,,,Lakehouse|Data-Ingestion-Pipelines|Data Lineage,frontier
15939-BB-633457-7878-2175-S,nicht_genannt,festanstellung,senior,,,MLOps|DevOps|Model Deployment,frontier
18777-931781141-S,nicht_genannt,festanstellung,nicht_genannt,,,Siemens Polarion|IBM Rational DOORS|Requirements Management,frontier
13999-k53401.30280-S,teilweise,festanstellung,senior,,,ERP-Systeme|MS Excel|Business Intelligence,frontier
15939-BB-632493-7878-9058-S,nicht_genannt,praktikum,junior,,,PowerPoint|Excel|Market Research,frontier
13635-7fbe73ac_JB5131141-S,remote,festanstellung,junior,,,Machine Learning|Python|Linux,frontier
20536-lutif851vc-S,teilweise,sonstiges,junior,,,Machine Learning|Artificial Intelligence|Datenanalyse,frontier
12826-SA0136034_JB5125696-S,nicht_genannt,festanstellung,mid,,,Windows Server|Linux|MS Office 365,frontier
13509-00002110865001-S,ja,festanstellung,senior,,,Java|DevOps|CI/CD,frontier
12862-244829-S,teilweise,festanstellung,junior,45000,jahr,Microsoft-Betriebssysteme|Ticketsysteme|ITIL,frontier
