id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
"    15939-BB-633097-7878-9999-S",teilweise,festanstellung,nicht_genannt,,,ils|opus suite|fmeca,
"    15939-BB-633095-7878-7490-S",teilweise,festanstellung,senior,,,opus suite|python,
"    15939-BB-633455-7878-6343-S",nicht_genannt,festanstellung,nicht_genannt,,,lakehouse|data lineage,
"    15939-BB-633457-7878-2175-S",nicht_genannt,festanstellung,nicht_genannt,,,mlops|devops,
"    18777-931781141-S",nicht_genannt,festanstellung,nicht_genannt,,,siemens polarion|ibm rational doors|ecss,
"    13999-k53401.30280-S",teilweise,festanstellung,mid,,,ms excel|erp,
"    15939-BB-632493-7878-9058-S",nicht_genannt,praktikum,nicht_genannt,,,excel|powerpoint,gewünschte Erfahrungnicht eindeutig erkennbar
"    13635-7fbe73ac_JB5131141-S",teilweise,festanstellung,nicht_genannt,,,python|tensorflow|pytorch,gewünschte Erfahrungnicht eindeutig erkennbar
20536-lutif851vc-S,teilweise,sonstiges,nicht_genannt,,,machine learning|artificial intelligence,wissenschaftliche Mitarbeitende
"    12826-SA0136034_JB5125696-S",teilweise,festanstellung,nicht_genannt,,,windows server|linux|ms office 365,
"    13509-00002110865001-S",nicht_genannt,festanstellung,senior,,,java|kubernetes|gitlab ci,
"    12862-244829-S",teilweise,festanstellung,nicht_genannt,,,itil,
