id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
"15939-BB-633097-7878-9999-S ","ja ","festanstellung ","junior ",,,"FMECA|Reliability Block Diagrams|ILS ","Junior entschieden ohne expliziete Nennung, du..."
"15939-BB-633095-7878-7490-S ","ja ","festanstellung ","senior ",,,"OPUS Suite|Python ",
"15939-BB-633455-7878-6343-S ","nicht_genannt ","festanstellung ","senior ",,,"Data-Lake-/Lakehouse-Architektur|Data-Ingestio... ","festanstellung anhand 30 Tage Urlaub, senior a..."
"15939-BB-633457-7878-2175-S ","nicht_genannt ","festanstellung ","senior ",,,"MLOps|Platform Engineering|Model Deployment ",festanstellung anhand von 30 Tage Urlaub
"18777-931781141-S ","nicht_genannt ","festanstellung ","nicht_genannt ",,,"Siemens Polarion|IBM Rational DOORS|systems en... ","festanstellung, da nichts gegenteiliges genannt"
13999-k53401.30280-S,ja,festanstellung,senior,,,Accounting/Controlling|MS Office|ERP-Systeme,"senior, da u.a. senior level"
15939-BB-632493-7878-9058-S,nicht_genannt,praktikum,junior,,,PowerPoint|Excel|Market Reseach,Edge Case erfahrungslevel -> Entscheidung für junior bei praktikum
13635-7fbe73ac_JB5131141-S,remote,festanstellung,junior,,,Machine Learning|Python|Linux,"100% HomeOffice möglich, aber nicht verpflichtend, trotzdem remote gewählt"
20536-lutif851vc-S,ja,sonstiges,junior,,,Machine Learning|empirical research methods|AI,"Wissenschaftlicher Mitarbeiter, der die Möglichkeit hat im Rahmen der Stelle seinen Doktor zu machen"
12826-SA0136034_JB5125696-S,nicht_genannt,festanstellung,junior,,,Windows|Linux|Troubleshooting,
13509-00002110865001-S,ja,festanstellung,senior,,,Java|DevOps|CI/CD,
"12862-244829-S ",ja,festanstellung,junior,,,Windows|Hardware|ITIL,
